state,county,2010_population,2015_population,,FIPS
Nebraska,Cherry,5713,5824,CherryNebraska,31031
Virginia,ChesapeakeCity,222209,235111,ChesapeakeCityVirginia,51550
New Hampshire,Cheshire,77117,76288,CheshireNew Hampshire,33005
Pennsylvania,Chester,498886,515055,ChesterPennsylvania,42029
South Carolina,Chester,33140,32410,ChesterSouth Carolina,45023
Tennessee,Chester,17131,17123,ChesterTennessee,47023
South Carolina,Chesterfield,46734,46135,ChesterfieldSouth Carolina,45025
Virginia,Chesterfield,316236,334915,ChesterfieldVirginia,51041
Colorado,Cheyenne,1836,1827,CheyenneColorado,8017
Kansas,Cheyenne,2726,2674,CheyenneKansas,20023
Nebraska,Cheyenne,9998,10137,CheyenneNebraska,31033
Iowa,Chickasaw,12439,12151,ChickasawIowa,19037
Mississippi,Chickasaw,17392,17395,ChickasawMississippi,28017
Arkansas,Chicot,11800,10970,ChicotArkansas,5017
Texas,Childress,7041,7169,ChildressTexas,48075
Alabama,Chilton,43643,43700,ChiltonAlabama,1021
Michigan,Chippewa,38520,37973,ChippewaMichigan,26033
Minnesota,Chippewa,12441,12084,ChippewaMinnesota,27023
Wisconsin,Chippewa,62415,63421,ChippewaWisconsin,55017
Minnesota,Chisago,53887,54129,ChisagoMinnesota,27025
Vermont,Chittenden,156545,161293,ChittendenVermont,50007
Alabama,Choctaw,13859,13231,ChoctawAlabama,1023
Mississippi,Choctaw,8547,8372,ChoctawMississippi,28019
Oklahoma,Choctaw,15205,14984,ChoctawOklahoma,40023
Montana,Chouteau,5813,5774,ChouteauMontana,30015
North Carolina,Chowan,14793,14248,ChowanNorth Carolina,37041
Illinois,Christian,34800,33463,ChristianIllinois,17021
Kentucky,Christian,73955,73075,ChristianKentucky,21047
Missouri,Christian,77422,83077,ChristianMissouri,29043
Nevada,Churchill,24877,23957,ChurchillNevada,32001
New Mexico,Cibola,27213,27044,CibolaNew Mexico,35006
Oklahoma,Cimarron,2475,2225,CimarronOklahoma,40025
Florida,Citrus,141236,140287,CitrusFlorida,12017
Oregon,Clackamas,375992,399647,ClackamasOregon,41005
Louisiana,Claiborne,17195,16261,ClaiborneLouisiana,22027
Mississippi,Claiborne,9604,9209,ClaiborneMississippi,28021
Tennessee,Claiborne,32213,31555,ClaiborneTennessee,47025
Washington,Clallam,71404,73202,ClallamWashington,53009
Michigan,Clare,30926,30616,ClareMichigan,26035
South Carolina,Clarendon,34971,34029,ClarendonSouth Carolina,45027
Pennsylvania,Clarion,39988,38876,ClarionPennsylvania,42031
Arkansas,Clark,22995,22513,ClarkArkansas,5019
Idaho,Clark,982,886,ClarkIdaho,16033
Illinois,Clark,16335,15868,ClarkIllinois,17023
Indiana,Clark,110232,114819,ClarkIndiana,18019
Kansas,Clark,2215,2081,ClarkKansas,20025
Kentucky,Clark,35613,35660,ClarkKentucky,21049
Missouri,Clark,7139,6808,ClarkMissouri,29045
Nevada,Clark,1951269,2096717,ClarkNevada,32003
Ohio,Clark,138333,135746,ClarkOhio,39023
South Dakota,Clark,3691,3649,ClarkSouth Dakota,46025
Washington,Clark,425363,456939,ClarkWashington,53011
Wisconsin,Clark,34690,34358,ClarkWisconsin,55019
Alabama,Clarke,25833,24698,ClarkeAlabama,1025
Georgia,Clarke,116714,123561,ClarkeGeorgia,13059
Iowa,Clarke,9286,9219,ClarkeIowa,19039
Mississippi,Clarke,16732,16022,ClarkeMississippi,28023
Virginia,Clarke,14034,14239,ClarkeVirginia,51043
Oregon,Clatsop,37039,37797,ClatsopOregon,41007
Alabama,Clay,13932,13415,ClayAlabama,1027
Arkansas,Clay,16083,15206,ClayArkansas,5021
Florida,Clay,190865,202392,ClayFlorida,12019
Georgia,Clay,3183,3077,ClayGeorgia,13061
Illinois,Clay,13815,13401,ClayIllinois,17025
Indiana,Clay,26890,26395,ClayIndiana,18021
Iowa,Clay,16667,16498,ClayIowa,19041
Kansas,Clay,8535,8293,ClayKansas,20027
Kentucky,Clay,21730,20974,ClayKentucky,21051
Minnesota,Clay,58999,62169,ClayMinnesota,27027
Mississippi,Clay,20634,20005,ClayMississippi,28025
Missouri,Clay,221939,235161,ClayMissouri,29047
Nebraska,Clay,6542,6291,ClayNebraska,31035
North Carolina,Clay,10587,10623,ClayNorth Carolina,37043
South Dakota,Clay,13864,13768,ClaySouth Dakota,46027
Tennessee,Clay,7861,7663,ClayTennessee,47027
Texas,Clay,10752,10359,ClayTexas,48077
West Virginia,Clay,9386,8875,ClayWest Virginia,54015
Georgia,Clayton,259424,272720,ClaytonGeorgia,13063
Iowa,Clayton,18129,17726,ClaytonIowa,19043
Colorado,ClearCreek,9088,9244,ClearCreekColorado,8019
Pennsylvania,Clearfield,81642,80718,ClearfieldPennsylvania,42033
Idaho,Clearwater,8761,8554,ClearwaterIdaho,16035
Minnesota,Clearwater,8695,8797,ClearwaterMinnesota,27029
Alabama,Cleburne,14972,14914,CleburneAlabama,1029
Arkansas,Cleburne,25970,25355,CleburneArkansas,5023
Ohio,Clermont,197363,201995,ClermontOhio,39025
Arkansas,Cleveland,8689,8284,ClevelandArkansas,5025
North Carolina,Cleveland,98078,96850,ClevelandNorth Carolina,37045
Oklahoma,Cleveland,255755,273841,ClevelandOklahoma,40027
Georgia,Clinch,6798,6826,ClinchGeorgia,13065
Illinois,Clinton,37762,37665,ClintonIllinois,17027
Indiana,Clinton,33224,32373,ClintonIndiana,18023
Iowa,Clinton,49116,47558,ClintonIowa,19045
Kentucky,Clinton,10272,10183,ClintonKentucky,21053
Michigan,Clinton,75382,77009,ClintonMichigan,26037
Missouri,Clinton,20743,20581,ClintonMissouri,29049
New York,Clinton,82128,80718,ClintonNew York,36019
Ohio,Clinton,42040,41839,ClintonOhio,39027
Pennsylvania,Clinton,39238,39400,ClintonPennsylvania,42035
Kansas,Cloud,9533,9188,CloudKansas,20029
Mississippi,Coahoma,26151,24500,CoahomaMississippi,28027
Oklahoma,Coal,5925,5608,CoalOklahoma,40029
Georgia,Cobb,688078,739052,CobbGeorgia,13067
Arizona,Cochise,131346,126454,CochiseArizona,4003
Texas,Cochran,3127,2977,CochranTexas,48079
Tennessee,Cocke,35662,35138,CockeTennessee,47029
Arizona,Coconino,134421,138962,CoconinoArizona,4005
South Dakota,Codington,27227,27899,CodingtonSouth Dakota,46029
Alabama,Coffee,49948,50963,CoffeeAlabama,1031
Georgia,Coffee,42356,42987,CoffeeGeorgia,13069
Tennessee,Coffee,52796,54093,CoffeeTennessee,47031
Kansas,Coffey,8601,8291,CoffeyKansas,20031
Texas,Coke,3320,3227,CokeTexas,48081
Alabama,Colbert,54428,54417,ColbertAlabama,1033
Missouri,Cole,75990,76818,ColeMissouri,29051
Texas,Coleman,8895,8316,ColemanTexas,48083
Illinois,Coles,53873,52179,ColesIllinois,17029
Nebraska,Colfax,10515,10717,ColfaxNebraska,31037
New Mexico,Colfax,13750,12429,ColfaxNew Mexico,35007
South Carolina,Colleton,38892,37439,ColletonSouth Carolina,45029
Florida,Collier,321520,356041,CollierFlorida,12021
Texas,Collin,782341,915243,CollinTexas,48085
Texas,Collingsworth,3057,3010,CollingsworthTexas,48087
Virginia,ColonialHeights,17411,17444,ColonialHeightsVirginia,51570
Texas,Colorado,20874,20951,ColoradoTexas,48089
Georgia,Colquitt,45498,45466,ColquittGeorgia,13071
Arkansas,Columbia,24552,24115,ColumbiaArkansas,5027
Florida,Columbia,67531,68222,ColumbiaFlorida,12023
Georgia,Columbia,124053,143837,ColumbiaGeorgia,13073
New York,Columbia,63096,61434,ColumbiaNew York,36021
Oregon,Columbia,49351,49646,ColumbiaOregon,41009
Pennsylvania,Columbia,67295,66681,ColumbiaPennsylvania,42037
Washington,Columbia,4078,3960,ColumbiaWashington,53013
Wisconsin,Columbia,56833,56682,ColumbiaWisconsin,55021
Ohio,Columbiana,107841,104714,ColumbianaOhio,39029
North Carolina,Columbus,58098,56675,ColumbusNorth Carolina,37047
California,Colusa,21419,21231,ColusaCalifornia,6011
Texas,Comal,108472,128795,ComalTexas,48091
Kansas,Comanche,1891,1827,ComancheKansas,20033
Oklahoma,Comanche,124098,124005,ComancheOklahoma,40031
Texas,Comanche,13974,13395,ComancheTexas,48093
Texas,Concho,4087,4072,ConchoTexas,48095
Louisiana,Concordia,20822,20228,ConcordiaLouisiana,22029
Alabama,Conecuh,13228,12678,ConecuhAlabama,1035
Colorado,Conejos,8256,8065,ConejosColorado,8021
California,ContraCosta,1049025,1124405,ContraCostaCalifornia,6013
Wyoming,Converse,13833,14297,ConverseWyoming,56009
Arkansas,Conway,21273,20936,ConwayArkansas,5029
Georgia,Cook,17212,17070,CookGeorgia,13075
Illinois,Cook,5194675,5244088,CookIllinois,17031
Minnesota,Cook,5176,5245,CookMinnesota,27031
Texas,Cooke,38437,39170,CookeTexas,48097
Missouri,Cooper,17601,17614,CooperMissouri,29053
New Hampshire,Coos,33055,32343,CoosNew Hampshire,33007
Oregon,Coos,63043,62643,CoosOregon,41011
Alabama,Coosa,11539,10934,CoosaAlabama,1037
Mississippi,Copiah,29449,28865,CopiahMississippi,28029
South Dakota,Corson,4050,4175,CorsonSouth Dakota,46031
New York,Cortland,49336,48290,CortlandNew York,36023
Texas,Coryell,75388,76145,CoryellTexas,48099
Ohio,Coshocton,36901,36577,CoshoctonOhio,39031
Colorado,Costilla,3524,3576,CostillaColorado,8023
Texas,Cottle,1505,1439,CottleTexas,48101
Oklahoma,Cotton,6193,6006,CottonOklahoma,40033
Minnesota,Cottonwood,11687,11422,CottonwoodMinnesota,27033
Alabama,Covington,37765,37556,CovingtonAlabama,1039
Virginia,CovingtonCity,5961,5663,CovingtonCityVirginia,51580
Mississippi,Covington,19568,19243,CovingtonMississippi,28031
Georgia,Coweta,127317,138145,CowetaGeorgia,13077
Kansas,Cowley,36311,35752,CowleyKansas,20035
Washington,Cowlitz,102410,102999,CowlitzWashington,53015
Oklahoma,Craig,15029,14709,CraigOklahoma,40035
Virginia,Craig,5190,5136,CraigVirginia,51045
Arkansas,Craighead,96443,104457,CraigheadArkansas,5031
Texas,Crane,4375,4995,CraneTexas,48103
North Carolina,Craven,103505,102853,CravenNorth Carolina,37049
Arkansas,Crawford,61948,61904,CrawfordArkansas,5033
Georgia,Crawford,12630,12354,CrawfordGeorgia,13079
Illinois,Crawford,19817,19255,CrawfordIllinois,17033
Indiana,Crawford,10713,10555,CrawfordIndiana,18025
Iowa,Crawford,17096,17082,CrawfordIowa,19047
Kansas,Crawford,39134,39139,CrawfordKansas,20037
Michigan,Crawford,14074,13853,CrawfordMichigan,26039
Missouri,Crawford,24696,24511,CrawfordMissouri,29055
Ohio,Crawford,43784,42324,CrawfordOhio,39033
Pennsylvania,Crawford,88765,86510,CrawfordPennsylvania,42039
Wisconsin,Crawford,16644,16328,CrawfordWisconsin,55023
Oklahoma,Creek,69967,70801,CreekOklahoma,40037
Alabama,Crenshaw,13906,13850,CrenshawAlabama,1041
Georgia,Crisp,23439,22959,CrispGeorgia,13081
Arkansas,Crittenden,50902,49019,CrittendenArkansas,5035
Kentucky,Crittenden,9315,9168,CrittendenKentucky,21055
Tennessee,Crockett,14586,14586,CrockettTennessee,47033
Texas,Crockett,3719,3735,CrockettTexas,48105
Oregon,Crook,20978,21455,CrookOregon,41013
Wyoming,Crook,7083,7435,CrookWyoming,56011
Texas,Crosby,6059,5918,CrosbyTexas,48107
Arkansas,Cross,17870,17255,CrossArkansas,5037
Minnesota,CrowWing,62500,63229,CrowWingMinnesota,27035
Colorado,Crowley,5823,5628,CrowleyColorado,8025
Texas,Culberson,2398,2254,CulbersonTexas,48109
Alabama,Cullman,80406,81761,CullmanAlabama,1043
Virginia,Culpeper,46689,49551,CulpeperVirginia,51047
Illinois,Cumberland,11048,10860,CumberlandIllinois,17035
Kentucky,Cumberland,6856,6737,CumberlandKentucky,21057
Maine,Cumberland,281674,289488,CumberlandMaine,23005
New Jersey,Cumberland,156898,154712,CumberlandNew Jersey,34011
North Carolina,Cumberland,319431,331203,CumberlandNorth Carolina,37051
Pennsylvania,Cumberland,235406,245744,CumberlandPennsylvania,42041
Tennessee,Cumberland,56053,58217,CumberlandTennessee,47035
Virginia,Cumberland,10052,9756,CumberlandVirginia,51049
Nebraska,Cuming,9139,9075,CumingNebraska,31039
North Carolina,Currituck,23547,25106,CurrituckNorth Carolina,37053
New Mexico,Curry,48376,50290,CurryNew Mexico,35009
Oregon,Curry,22364,22293,CurryOregon,41015
Colorado,Custer,4255,4434,CusterColorado,8027
Idaho,Custer,4368,4059,CusterIdaho,16037
Montana,Custer,11699,12083,CusterMontana,30017
Nebraska,Custer,10939,10828,CusterNebraska,31041
Oklahoma,Custer,27469,29565,CusterOklahoma,40039
South Dakota,Custer,8216,8444,CusterSouth Dakota,46033
Ohio,Cuyahoga,1280122,1258739,CuyahogaOhio,39035
Georgia,Dade,16633,16162,DadeGeorgia,13083
Missouri,Dade,7883,7574,DadeMissouri,29057
Utah,Daggett,1059,1107,DaggettUtah,49009
Minnesota,Dakota,398552,414131,DakotaMinnesota,27037
Nebraska,Dakota,21006,20550,DakotaNebraska,31043
Alabama,Dale,50251,49365,DaleAlabama,1045
Texas,Dallam,6703,7301,DallamTexas,48111
Alabama,Dallas,43820,40936,DallasAlabama,1047
Arkansas,Dallas,8116,7530,DallasArkansas,5039
Iowa,Dallas,66135,80631,DallasIowa,19049
Missouri,Dallas,16777,16344,DallasMissouri,29059
Texas,Dallas,2368139,2557830,DallasTexas,48113
Wisconsin,Dane,488073,523000,DaneWisconsin,55025
Montana,Daniels,1751,1750,DanielsMontana,30019
Virginia,DanvilleCity,43055,41947,DanvilleCityVirginia,51590
North Carolina,Dare,33920,35468,DareNorth Carolina,37055
Ohio,Darke,52959,51981,DarkeOhio,39037
South Carolina,Darlington,68681,67520,DarlingtonSouth Carolina,45031
Pennsylvania,Dauphin,268100,273085,DauphinPennsylvania,42043
North Carolina,Davidson,162878,163486,DavidsonNorth Carolina,37057
Tennessee,Davidson,626681,679793,DavidsonTennessee,47037
North Carolina,Davie,41240,41648,DavieNorth Carolina,37059
Indiana,Daviess,31648,32823,DaviessIndiana,18027
Kentucky,Daviess,96656,99485,DaviessKentucky,21059
Missouri,Daviess,8433,8283,DaviessMissouri,29061
Iowa,Davis,8753,8777,DavisIowa,19051
Utah,Davis,306479,334597,DavisUtah,49011
South Dakota,Davison,19504,19916,DavisonSouth Dakota,46035
Nebraska,Dawes,9182,8958,DawesNebraska,31045
Georgia,Dawson,22330,23369,DawsonGeorgia,13085
Montana,Dawson,8966,9577,DawsonMontana,30021
Nebraska,Dawson,24326,23892,DawsonNebraska,31047
Texas,Dawson,13833,12987,DawsonTexas,48115
South Dakota,Day,5710,5496,DaySouth Dakota,46037
New Mexico,DeBaca,2022,1873,DeBacaNew Mexico,35011
Louisiana,DeSoto,26656,27101,DeSotoLouisiana,22031
Illinois,DeWitt,16561,16184,DeWittIllinois,17039
Texas,DeafSmith,19372,18825,DeafSmithTexas,48117
Indiana,Dearborn,50047,49455,DearbornIndiana,18029
Georgia,Decatur,27842,27049,DecaturGeorgia,13087
Indiana,Decatur,25740,26339,DecaturIndiana,18031
Iowa,Decatur,8457,8137,DecaturIowa,19053
Kansas,Decatur,2961,2923,DecaturKansas,20039
Tennessee,Decatur,11757,11600,DecaturTennessee,47039
Montana,DeerLodge,9298,9102,DeerLodgeMontana,30023
Ohio,Defiance,39037,38326,DefianceOhio,39039
Alabama,DeKalb,71109,71087,DeKalbAlabama,1049
Georgia,DeKalb,691893,734434,DeKalbGeorgia,13089
Illinois,DeKalb,105160,104195,DeKalbIllinois,17037
Indiana,DeKalb,42223,42496,DeKalbIndiana,18033
Missouri,DeKalb,12892,12540,DeKalbMissouri,29063
Tennessee,DeKalb,18723,19292,DeKalbTennessee,47041
California,DelNorte,28610,27190,DelNorteCalifornia,6015
Indiana,Delaware,117671,115767,DelawareIndiana,18035
Iowa,Delaware,17764,17393,DelawareIowa,19055
New York,Delaware,47980,45891,DelawareNew York,36025
Ohio,Delaware,174214,193391,DelawareOhio,39041
Oklahoma,Delaware,41487,41704,DelawareOklahoma,40041
Pennsylvania,Delaware,558979,563225,DelawarePennsylvania,42045
Colorado,Delta,30952,29913,DeltaColorado,8029
Michigan,Delta,37069,36415,DeltaMichigan,26041
Texas,Delta,5231,5159,DeltaTexas,48119
Alaska,Denali,1826,1933,DenaliAlaska,2068
Missouri,Dent,15657,15656,DentMissouri,29065
Texas,Denton,662614,779584,DentonTexas,48121
Colorado,Denver,600158,683285,DenverColorado,8031
Iowa,DesMoines,40325,39874,DesMoinesIowa,19057
Oregon,Deschutes,157733,174246,DeschutesOregon,41017
Arkansas,Desha,13008,12029,DeshaArkansas,5041
Florida,DeSoto,34862,35648,DeSotoFlorida,12027
Mississippi,DeSoto,161252,173271,DeSotoMississippi,28033
Nebraska,Deuel,1941,1910,DeuelNebraska,31049
South Dakota,Deuel,4364,4323,DeuelSouth Dakota,46039
Oklahoma,Dewey,4810,4984,DeweyOklahoma,40043
South Dakota,Dewey,5301,5705,DeweySouth Dakota,46041
Texas,DeWitt,20097,20632,DeWittTexas,48123
Texas,Dickens,2444,2204,DickensTexas,48125
Virginia,Dickenson,15903,15201,DickensonVirginia,51051
North Dakota,Dickey,5289,5054,DickeyNorth Dakota,38021
Iowa,Dickinson,16667,17004,DickinsonIowa,19059
Kansas,Dickinson,19754,19206,DickinsonKansas,20041
Michigan,Dickinson,26168,25661,DickinsonMichigan,26043
Tennessee,Dickson,49666,51334,DicksonTennessee,47043
Alaska,Dillingham,4847,4988,DillinghamAlaska,2070
South Carolina,Dillon,32062,31141,DillonSouth Carolina,45033
Texas,Dimmit,9996,10910,DimmitTexas,48127
Virginia,Dinwiddie,28001,28148,DinwiddieVirginia,51053
District of Columbia,DistrictofColumbia,601723,675400,DistrictofColumbiaDistrict of Columbia,11001
North Dakota,Divide,2071,2459,DivideNorth Dakota,38023
Florida,Dixie,16422,16353,DixieFlorida,12029
Nebraska,Dixon,6000,5769,DixonNebraska,31051
West Virginia,Doddridge,8202,8703,DoddridgeWest Virginia,54017
Georgia,Dodge,21796,21142,DodgeGeorgia,13091
Minnesota,Dodge,20087,20410,DodgeMinnesota,27039
Nebraska,Dodge,36691,36567,DodgeNebraska,31053
Wisconsin,Dodge,88759,87816,DodgeWisconsin,55027
Colorado,Dolores,2064,1981,DoloresColorado,8033
New Mexico,DonaAna,209233,214034,DonaAnaNew Mexico,35013
Kansas,Doniphan,7945,7788,DoniphanKansas,20043
Texas,Donley,3677,3391,DonleyTexas,48129
Georgia,Dooly,14918,14034,DoolyGeorgia,13093
Wisconsin,Door,27785,27311,DoorWisconsin,55029
Maryland,Dorchester,32618,32419,DorchesterMaryland,24019
South Carolina,Dorchester,136555,152809,DorchesterSouth Carolina,45035
Georgia,Dougherty,94565,91513,DoughertyGeorgia,13095
Colorado,Douglas,285465,322025,DouglasColorado,8035
Georgia,Douglas,132403,140173,DouglasGeorgia,13097
Illinois,Douglas,19980,19835,DouglasIllinois,17041
Kansas,Douglas,110826,118141,DouglasKansas,20045
Minnesota,Douglas,36009,36790,DouglasMinnesota,27041
Missouri,Douglas,13684,13356,DouglasMissouri,29067
Nebraska,Douglas,517110,549029,DouglasNebraska,31055
Nevada,Douglas,46997,47404,DouglasNevada,32005
Oregon,Douglas,107667,107164,DouglasOregon,41019
South Dakota,Douglas,3002,2952,DouglasSouth Dakota,46043
Washington,Douglas,38431,40545,DouglasWashington,53017
Wisconsin,Douglas,44159,43495,DouglasWisconsin,55031
Arkansas,Drew,18509,18613,DrewArkansas,5043
Indiana,Dubois,41889,42317,DuboisIndiana,18037
Iowa,Dubuque,93653,96850,DubuqueIowa,19061
Utah,Duchesne,18607,20748,DuchesneUtah,49013
Massachusetts,Dukes,16535,17274,DukesMassachusetts,25007
Nebraska,Dundy,2008,1770,DundyNebraska,31057
Missouri,Dunklin,31953,30844,DunklinMissouri,29069
North Dakota,Dunn,3536,4578,DunnNorth Dakota,38025
Wisconsin,Dunn,43857,44267,DunnWisconsin,55033
Illinois,DuPage,916924,933609,DuPageIllinois,17043
North Carolina,Duplin,58505,58883,DuplinNorth Carolina,37061
North Carolina,Durham,267587,300793,DurhamNorth Carolina,37063
New York,Dutchess,297488,294039,DutchessNew York,36027
Florida,Duval,864263,910578,DuvalFlorida,12031
Texas,Duval,11782,11336,DuvalTexas,48131
Tennessee,Dyer,38335,37753,DyerTennessee,47045
Colorado,Eagle,52197,53865,EagleColorado,8037
Georgia,Early,11008,10462,EarlyGeorgia,13099
Louisiana,EastBatonRouge,440171,445512,EastBatonRougeLouisiana,22033
Louisiana,EastCarroll,7759,7277,EastCarrollLouisiana,22035
Louisiana,EastFeliciana,20267,19540,EastFelicianaLouisiana,22037
Texas,Eastland,18583,18152,EastlandTexas,48133
Michigan,Eaton,107759,108661,EatonMichigan,26045
Wisconsin,EauClaire,98736,102080,EauClaireWisconsin,55035
Georgia,Echols,4034,4030,EcholsGeorgia,13101
Texas,Ector,137130,159903,EctorTexas,48135
New Mexico,Eddy,53829,57715,EddyNew Mexico,35015
North Dakota,Eddy,2385,2305,EddyNorth Dakota,38027
Illinois,Edgar,18576,17603,EdgarIllinois,17045
North Carolina,Edgecombe,56552,53743,EdgecombeNorth Carolina,37065
South Carolina,Edgefield,26985,26782,EdgefieldSouth Carolina,45037
Kentucky,Edmonson,12161,11991,EdmonsonKentucky,21061
South Dakota,Edmunds,4071,3996,EdmundsSouth Dakota,46045
Illinois,Edwards,6721,6511,EdwardsIllinois,17047
Kansas,Edwards,3037,2955,EdwardsKansas,20047
Texas,Edwards,2002,1910,EdwardsTexas,48137
Georgia,Effingham,52250,57076,EffinghamGeorgia,13103
Illinois,Effingham,34242,34202,EffinghamIllinois,17049
California,ElDorado,181058,184569,ElDoradoCalifornia,6017
Colorado,ElPaso,622263,674001,ElPasoColorado,8041
Texas,ElPaso,800647,831898,ElPasoTexas,48141
Colorado,Elbert,23086,24630,ElbertColorado,8039
Georgia,Elbert,20166,19302,ElbertGeorgia,13105
Kansas,Elk,2882,2574,ElkKansas,20049
Pennsylvania,Elk,31946,30897,ElkPennsylvania,42047
Indiana,Elkhart,197559,202995,ElkhartIndiana,18039
Nevada,Elko,48818,51728,ElkoNevada,32007
Kentucky,Elliott,7852,7548,ElliottKentucky,21063
Kansas,Ellis,28452,28999,EllisKansas,20051
Oklahoma,Ellis,4151,4223,EllisOklahoma,40045
Texas,Ellis,149610,163292,EllisTexas,48139
Kansas,Ellsworth,6497,6302,EllsworthKansas,20053
Alabama,Elmore,79303,80872,ElmoreAlabama,1051
Idaho,Elmore,27038,25826,ElmoreIdaho,16039
Georgia,Emanuel,22598,22471,EmanuelGeorgia,13107
Utah,Emery,10976,10359,EmeryUtah,49015
Iowa,Emmet,10302,9702,EmmetIowa,19063
Michigan,Emmet,32694,32924,EmmetMichigan,26047
North Dakota,Emmons,3550,3397,EmmonsNorth Dakota,38029
Virginia,EmporiaCity,5927,5558,EmporiaCityVirginia,51595
Texas,Erath,37890,41191,ErathTexas,48143
New York,Erie,919040,920644,ErieNew York,36029
Ohio,Erie,77079,75360,ErieOhio,39043
Pennsylvania,Erie,280566,278174,EriePennsylvania,42049
Alabama,Escambia,38319,37661,EscambiaAlabama,1053
Florida,Escambia,297619,309311,EscambiaFlorida,12033
Nevada,Esmeralda,783,830,EsmeraldaNevada,32009
Massachusetts,Essex,743159,776865,EssexMassachusetts,25009
New Jersey,Essex,783969,790439,EssexNew Jersey,34013
New York,Essex,39370,37965,EssexNew York,36031
Vermont,Essex,6306,6193,EssexVermont,50009
Virginia,Essex,11151,11096,EssexVirginia,51057
Kentucky,Estill,14672,14373,EstillKentucky,21065
Alabama,Etowah,104430,102998,EtowahAlabama,1055
Nevada,Eureka,1987,2029,EurekaNevada,32011
Louisiana,Evangeline,33984,33724,EvangelineLouisiana,22039
Georgia,Evans,11000,10690,EvansGeorgia,13109
Alaska,FairbanksNorthStar,97581,99636,FairbanksNorthStarAlaska,2090
Virginia,FairfaxCity,22565,23230,FairfaxCityVirginia,51600
Virginia,Fairfax,1081726,1140401,FairfaxVirginia,51059
Connecticut,Fairfield,916829,944943,FairfieldConnecticut,9001
Ohio,Fairfield,146156,151254,FairfieldOhio,39045
South Carolina,Fairfield,23956,22874,FairfieldSouth Carolina,45039
South Dakota,FallRiver,7094,6800,FallRiverSouth Dakota,46047
Montana,Fallon,2890,3171,FallonMontana,30025
Virginia,FallsChurch,12332,13728,FallsChurchVirginia,51610
Texas,Falls,17866,17216,FallsTexas,48145
Georgia,Fannin,23682,24442,FanninGeorgia,13111
Texas,Fannin,33915,33502,FanninTexas,48147
Minnesota,Faribault,14553,13981,FaribaultMinnesota,27043
South Dakota,Faulk,2364,2307,FaulkSouth Dakota,46049
Arkansas,Faulkner,113237,121241,FaulknerArkansas,5045
Virginia,Fauquier,65203,68423,FauquierVirginia,51061
Alabama,Fayette,17241,16696,FayetteAlabama,1057
Georgia,Fayette,106567,110141,FayetteGeorgia,13113
Illinois,Fayette,22140,22036,FayetteIllinois,17051
Indiana,Fayette,24277,23388,FayetteIndiana,18041
Iowa,Fayette,20880,20142,FayetteIowa,19065
Kentucky,Fayette,295803,315819,FayetteKentucky,21067
Ohio,Fayette,29030,28611,FayetteOhio,39047
Pennsylvania,Fayette,136606,133252,FayettePennsylvania,42051
Tennessee,Fayette,38413,39280,FayetteTennessee,47047
Texas,Fayette,24554,24945,FayetteTexas,48149
West Virginia,Fayette,46039,44707,FayetteWest Virginia,54019
Tennessee,Fentress,17959,17965,FentressTennessee,47049
Montana,Fergus,11586,11307,FergusMontana,30027
Washington,Ferry,7551,7520,FerryWashington,53019
Minnesota,Fillmore,20866,20739,FillmoreMinnesota,27045
Nebraska,Fillmore,5890,5553,FillmoreNebraska,31059
Kansas,Finney,36776,37148,FinneyKansas,20055
Texas,Fisher,3974,3877,FisherTexas,48151
Florida,Flagler,95696,104436,FlaglerFlorida,12035
Montana,Flathead,90928,95839,FlatheadMontana,30029
Kentucky,Fleming,14348,14578,FlemingKentucky,21069
South Carolina,Florence,136885,138715,FlorenceSouth Carolina,45041
Wisconsin,Florence,4423,4338,FlorenceWisconsin,55037
Georgia,Floyd,96317,96186,FloydGeorgia,13115
Indiana,Floyd,74578,76505,FloydIndiana,18043
Iowa,Floyd,16303,15910,FloydIowa,19067
Kentucky,Floyd,39451,37531,FloydKentucky,21071
Texas,Floyd,6446,5843,FloydTexas,48153
Virginia,Floyd,15279,15548,FloydVirginia,51063
Virginia,Fluvanna,25691,26133,FluvannaVirginia,51065
Texas,Foard,1336,1225,FoardTexas,48155
Wisconsin,FondduLac,101633,101955,FondduLacWisconsin,55039
Illinois,Ford,14081,13529,FordIllinois,17053
Kansas,Ford,33848,34629,FordKansas,20057
Pennsylvania,Forest,7716,7381,ForestPennsylvania,42053
Wisconsin,Forest,9304,9004,ForestWisconsin,55041
Mississippi,Forrest,74934,75593,ForrestMississippi,28035
Georgia,Forsyth,175511,211250,ForsythGeorgia,13117
North Carolina,Forsyth,350670,367365,ForsythNorth Carolina,37067
Texas,FortBend,585375,715331,FortBendTexas,48157
North Dakota,Foster,3343,3325,FosterNorth Dakota,38031
Indiana,Fountain,17240,16537,FountainIndiana,18045
Alabama,Franklin,31704,31515,FranklinAlabama,1059
Arkansas,Franklin,18125,17749,FranklinArkansas,5047
Virginia,FranklinCity,8582,8331,FranklinCityVirginia,51620
Florida,Franklin,11549,11707,FranklinFlorida,12037
Georgia,Franklin,22084,22267,FranklinGeorgia,13119
Idaho,Franklin,12786,12955,FranklinIdaho,16041
Illinois,Franklin,39561,39383,FranklinIllinois,17055
Indiana,Franklin,23087,22940,FranklinIndiana,18047
Iowa,Franklin,10680,10319,FranklinIowa,19069
