state,county,2010_population,2015_population,,FIPS
Texas,Austin,28417,29471,AustinTexas,48015
Alabama,Autauga,54571,54864,AutaugaAlabama,1001
North Carolina,Avery,17797,17486,AveryNorth Carolina,37011
Louisiana,Avoyelles,42073,40979,AvoyellesLouisiana,22009
Colorado,Baca,3788,3555,BacaColorado,8009
Georgia,Bacon,11096,11231,BaconGeorgia,13005
Texas,Bailey,7165,7223,BaileyTexas,48017
Florida,Baker,27115,27355,BakerFlorida,12003
Georgia,Baker,3451,3194,BakerGeorgia,13007
Oregon,Baker,16134,15882,BakerOregon,41001
Alabama,Baldwin,182265,202939,BaldwinAlabama,1003
Georgia,Baldwin,45720,45549,BaldwinGeorgia,13009
Kentucky,Ballard,8249,8216,BallardKentucky,21007
Maryland,Baltimore,805029,827533,BaltimoreMaryland,24005
Maryland,Baltimore,620961,622522,BaltimoreMaryland,24005
South Carolina,Bamberg,15987,14682,BambergSouth Carolina,45009
Texas,Bandera,20485,21144,BanderaTexas,48019
Georgia,Banks,18395,18381,BanksGeorgia,13011
Nebraska,Banner,690,711,BannerNebraska,31007
Idaho,Bannock,82839,84184,BannockIdaho,16005
Michigan,Baraga,8860,8585,BaragaMichigan,26013
Kansas,Barber,4861,4824,BarberKansas,20007
Alabama,Barbour,27457,26283,BarbourAlabama,1005
West Virginia,Barbour,16589,16973,BarbourWest Virginia,54001
North Dakota,Barnes,11066,11008,BarnesNorth Dakota,38003
Massachusetts,Barnstable,215888,213877,BarnstableMassachusetts,25001
South Carolina,Barnwell,22621,21781,BarnwellSouth Carolina,45011
Kentucky,Barren,42173,43546,BarrenKentucky,21009
Wisconsin,Barron,45870,45367,BarronWisconsin,55005
Georgia,Barrow,69367,74979,BarrowGeorgia,13013
Michigan,Barry,59173,59426,BarryMichigan,26015
Missouri,Barry,35597,35293,BarryMissouri,29009
Indiana,Bartholomew,76794,81458,BartholomewIndiana,18005
Kansas,Barton,27674,27159,BartonKansas,20009
Missouri,Barton,12402,11825,BartonMissouri,29011
Georgia,Bartow,100157,102043,BartowGeorgia,13015
Texas,Bastrop,74171,80115,BastropTexas,48021
Missouri,Bates,17049,16362,BatesMissouri,29013
Kentucky,Bath,11591,12203,BathKentucky,21011
Virginia,Bath,4731,4460,BathVirginia,51017
Arkansas,Baxter,41513,41138,BaxterArkansas,5005
Florida,Bay,168852,181488,BayFlorida,12005
Michigan,Bay,107771,105237,BayMichigan,26017
Wisconsin,Bayfield,15014,14976,BayfieldWisconsin,55007
Texas,Baylor,3726,3609,BaylorTexas,48023
South Dakota,Beadle,17398,18127,BeadleSouth Dakota,46005
Idaho,BearLake,5986,5879,BearLakeIdaho,16007
North Carolina,Beaufort,47759,47389,BeaufortNorth Carolina,37013
South Carolina,Beaufort,162233,179796,BeaufortSouth Carolina,45013
Louisiana,Beauregard,35654,36531,BeauregardLouisiana,22011
Oklahoma,Beaver,5636,5455,BeaverOklahoma,40007
Pennsylvania,Beaver,170539,168241,BeaverPennsylvania,42007
Utah,Beaver,6629,6353,BeaverUtah,49001
Montana,Beaverhead,9246,9295,BeaverheadMontana,30001
Minnesota,Becker,32504,33445,BeckerMinnesota,27005
Oklahoma,Beckham,22119,23554,BeckhamOklahoma,40009
Pennsylvania,Bedford,49762,48748,BedfordPennsylvania,42009
Tennessee,Bedford,45058,46948,BedfordTennessee,47003
Virginia,Bedford,68676,77629,BedfordVirginia,51019
Texas,Bee,31861,32617,BeeTexas,48025
New Hampshire,Belknap,60088,60370,BelknapNew Hampshire,33001
Kentucky,Bell,28691,27370,BellKentucky,21013
Texas,Bell,310235,336076,BellTexas,48027
Ohio,Belmont,70400,68973,BelmontOhio,39013
Minnesota,Beltrami,44442,45605,BeltramiMinnesota,27007
Georgia,BenHill,17634,17357,BenHillGeorgia,13017
Idaho,Benewah,9285,8996,BenewahIdaho,16009
South Dakota,Bennett,3431,3402,BennettSouth Dakota,46007
Vermont,Bennington,37125,36153,BenningtonVermont,50003
North Dakota,Benson,6660,6820,BensonNorth Dakota,38005
Colorado,Bent,6499,5889,BentColorado,8011
