state,county,FIPS,SVI_sum_of_indicators,SVI_ranking,percent_uninsured
NEBRASKA,Gage,31067,5.2174,0.15,6
ILLINOIS,Jersey,17083,5.2197,0.1503,7.9
MONTANA,Prairie,30079,5.2203,0.1506,10.3
KANSAS,Phillips,20147,5.2267,0.1509,5.9
OKLAHOMA,Ellis,40045,5.227,0.1512,11.3
ILLINOIS,Henry,17073,5.2283,0.1515,5.9
SOUTH DAKOTA,Stanley,46117,5.235,0.1519,8.1
ILLINOIS,Henderson,17071,5.2353,0.1522,7.3
MONTANA,Meagher,30059,5.2413,0.1525,17.1
GEORGIA,Columbia,13073,5.2416,0.1528,8.8
WISCONSIN,Vilas,55125,5.2426,0.1531,8.9
PENNSYLVANIA,Montgomery,42091,5.2461,0.1535,5.1
MISSOURI,Franklin,29071,5.248,0.1538,9.5
IOWA,Greene,19073,5.2521,0.1541,5.4
WISCONSIN,Winnebago,55139,5.2531,0.1544,6
NEBRASKA,Nemaha,31127,5.2588,0.1547,5.9
MINNESOTA,Brown,27015,5.2719,0.155,5
NEBRASKA,Keith,31101,5.276,0.1554,12.5
NORTH DAKOTA,Pierce,38069,5.2783,0.1557,9.7
VERMONT,Chittenden,50007,5.2795,0.156,4
MARYLAND,Anne Arundel,24003,5.2811,0.1563,6
INDIANA,Morgan,18109,5.2824,0.1566,10
OHIO,Henry,39069,5.2827,0.157,6.4
OHIO,Fulton,39051,5.2891,0.1573,5.2
ALASKA,Haines,2100,5.2932,0.1576,23.3
ILLINOIS,DuPage,17043,5.2951,0.1579,7.5
NEBRASKA,Cherry,31031,5.2974,0.1582,9.8
MICHIGAN,Keweenaw,26083,5.2983,0.1585,10.7
WISCONSIN,Manitowoc,55071,5.2999,0.1589,5
MISSOURI,Perry,29157,5.3028,0.1592,7.4
MISSOURI,Christian,29043,5.3034,0.1595,10.8
NEBRASKA,Butler,31023,5.3066,0.1598,8.1
NEW YORK,Tioga,36107,5.3098,0.1601,6.2
COLORADO,Chaffee,8015,5.3171,0.1605,13.1
MINNESOTA,Lake of the Woods,27077,5.3174,0.1608,6.4
ILLINOIS,Calhoun,17013,5.3181,0.1611,4
INDIANA,Johnson,18081,5.3216,0.1614,9.3
NEW YORK,Madison,36053,5.3222,0.1617,5.3
PENNSYLVANIA,Pike,42103,5.3251,0.1621,8.4
KANSAS,Osborne,20141,5.3286,0.1624,11
GEORGIA,Harris,13145,5.3311,0.1627,11.3
IOWA,Calhoun,19025,5.3317,0.163,5.1
WISCONSIN,Portage,55097,5.3343,0.1633,5.9
MONTANA,Granite,30039,5.3384,0.1636,12.4
KANSAS,Decatur,20039,5.3426,0.164,11.2
VIRGINIA,Fairfax,51059,5.3467,0.1643,10.3
IOWA,Winnebago,19189,5.3473,0.1646,4.3
VERMONT,Addison,50001,5.3473,0.1649,5.2
VIRGINIA,Chesterfield,51041,5.3489,0.1652,8.4
NEBRASKA,Phelps,31137,5.3493,0.1656,6.2
VERMONT,Orange,50017,5.3508,0.1659,6.1
SOUTH DAKOTA,Custer,46033,5.3512,0.1662,11.6
ILLINOIS,Carroll,17015,5.3515,0.1665,7.6
WISCONSIN,Wood,55141,5.3575,0.1668,5.9
IOWA,Jackson,19097,5.362,0.1671,6.8
NEBRASKA,Box Butte,31013,5.362,0.1671,8.6
MICHIGAN,Midland,26111,5.3642,0.1678,7.3
IDAHO,Ada,16001,5.3703,0.1681,10.7
ILLINOIS,Scott,17171,5.3706,0.1684,7.7
NORTH DAKOTA,McIntosh,38051,5.3744,0.1687,3.6
PENNSYLVANIA,Cumberland,42041,5.3757,0.1691,6.3
PENNSYLVANIA,Washington,42125,5.376,0.1694,5.7
MARYLAND,Frederick,24021,5.3836,0.1697,6.1
COLORADO,Boulder,8013,5.3855,0.17,7.4
GEORGIA,Cherokee,13057,5.3859,0.1703,13.3
IDAHO,Bear Lake,16007,5.3871,0.1706,10
KANSAS,Scott,20171,5.3878,0.171,4.1
KENTUCKY,Woodford,21239,5.3894,0.1713,8
OHIO,Greene,39057,5.3894,0.1716,6.4
MINNESOTA,Rock,27133,5.39,0.1719,7.4
NORTH DAKOTA,Cass,38017,5.3932,0.1722,7.7
MONTANA,Powell,30077,5.3951,0.1726,14.1
MASSACHUSETTS,Franklin,25011,5.3976,0.1729,2.8
VIRGINIA,Spotsylvania,51177,5.4053,0.1732,10.2
NEW JERSEY,Monmouth,34025,5.4059,0.1735,8.2
IOWA,Van Buren,19177,5.4075,0.1738,15.2
MISSOURI,Worth,29227,5.4126,0.1741,11.6
MICHIGAN,Emmet,26047,5.4155,0.1745,9.5
MINNESOTA,Wilkin,27167,5.4161,0.1748,5
KANSAS,Barber,20007,5.4196,0.1751,10.6
VIRGINIA,Frederick,51069,5.4222,0.1754,11
KANSAS,Jackson,20085,5.4247,0.1757,5.9
MINNESOTA,Meeker,27093,5.425,0.1761,6.2
KANSAS,Marion,20115,5.4279,0.1764,7.7
MONTANA,Lewis and Clark,30049,5.4292,0.1767,8.9
MAINE,Cumberland,23005,5.4311,0.177,7.5
MINNESOTA,Renville,27129,5.4311,0.1773,6.2
IOWA,Boone,19015,5.4368,0.1777,6.2
NORTH DAKOTA,Stark,38089,5.439,0.178,9.7
OHIO,Miami,39109,5.4422,0.1783,7.9
FLORIDA,Seminole,12117,5.4432,0.1786,13.6
INDIANA,Wells,18179,5.4457,0.1789,8.9
WISCONSIN,La Crosse,55063,5.4495,0.1792,5.9
INDIANA,Martin,18101,5.4521,0.1796,11.1
IOWA,Cherokee,19035,5.4562,0.1799,8.2
OHIO,Shelby,39149,5.4607,0.1802,5.7
NEW YORK,Genesee,36037,5.461,0.1805,6.2
TENNESSEE,Moore,47127,5.4674,0.1808,9.4
NEW HAMPSHIRE,Hillsborough,33011,5.4702,0.1812,8.2
MAINE,Hancock,23009,5.4712,0.1815,12.9
WISCONSIN,Marathon,55073,5.4737,0.1818,6.9
MINNESOTA,Faribault,27043,5.4753,0.1821,6.3
NORTH CAROLINA,Union,37179,5.4753,0.1824,11.1
SOUTH DAKOTA,McCook,46087,5.476,0.1827,7.7
IDAHO,Franklin,16041,5.4811,0.1831,13
CALIFORNIA,Placer,6061,5.4839,0.1834,7.7
INDIANA,Porter,18127,5.4858,0.1837,8.7
MARYLAND,St. Mary's,24037,5.4862,0.184,6
NEBRASKA,Merrick,31121,5.4871,0.1843,8.9
WISCONSIN,Jefferson,55055,5.4874,0.1847,6.2
MINNESOTA,Sibley,27143,5.4877,0.185,5.1
NEVADA,Douglas,32005,5.4877,0.1853,12.1
NEBRASKA,Jefferson,31095,5.4893,0.1856,6.9
MICHIGAN,Allegan,26005,5.4922,0.1859,7.7
WISCONSIN,Eau Claire,55035,5.4951,0.1862,8.1
PENNSYLVANIA,Fulton,42057,5.4954,0.1866,8.2
VIRGINIA,Alexandria City,51510,5.4954,0.1869,14.3
MAINE,Knox,23013,5.503,0.1872,12.4
MICHIGAN,Antrim,26009,5.5049,0.1875,9.3
WISCONSIN,Shawano,55115,5.5059,0.1878,8.9
WEST VIRGINIA,Marshall,54051,5.5072,0.1882,9.2
OHIO,Preble,39135,5.5097,0.1885,8.8
IDAHO,Caribou,16029,5.5151,0.1888,8.3
SOUTH DAKOTA,Hyde,46069,5.5231,0.1891,9.3
MISSOURI,Ste. Genevieve,29186,5.5272,0.1894,6.4
IOWA,Clayton,19043,5.5279,0.1897,7.6
ILLINOIS,Edwards,17047,5.5336,0.1901,7.2
PENNSYLVANIA,Susquehanna,42115,5.5336,0.1904,10.2
NEBRASKA,Buffalo,31019,5.5339,0.1907,8.3
VIRGINIA,Isle of Wight,51093,5.5438,0.191,7.4
MARYLAND,Talbot,24041,5.5444,0.1913,6.9
TEXAS,Williamson,48491,5.5473,0.1917,11.1
WISCONSIN,Waupaca,55135,5.5476,0.192,7
UTAH,Box Elder,49003,5.5495,0.1923,8.3
VIRGINIA,Virginia Beach City,51810,5.5517,0.1926,9.4
NORTH DAKOTA,Towner,38095,5.5517,0.1929,9.7
ILLINOIS,McLean,17113,5.5524,0.1933,5.4
TENNESSEE,Sumner,47165,5.5533,0.1936,9.6
IOWA,Dubuque,19061,5.5562,0.1939,4.8
NEBRASKA,Clay,31035,5.5565,0.1942,11.2
WISCONSIN,Chippewa,55017,5.5632,0.1945,7
KANSAS,Lincoln,20105,5.5686,0.1948,11.5
GEORGIA,Paulding,13223,5.5715,0.1952,12.5
MINNESOTA,Goodhue,27049,5.5727,0.1955,6.5
MARYLAND,Garrett,24023,5.5775,0.1958,8.9
NEW HAMPSHIRE,Grafton,33009,5.5785,0.1961,10.1
MINNESOTA,Nicollet,27103,5.5845,0.1964,3.5
WISCONSIN,Dodge,55027,5.5848,0.1968,5
INDIANA,Harrison,18061,5.5874,0.1971,8.6
WISCONSIN,Burnett,55013,5.5906,0.1977,7.6
WISCONSIN,Dane,55025,5.5906,0.1974,5.5
NEW JERSEY,Burlington,34005,5.5941,0.198,5.9
OKLAHOMA,Alfalfa,40003,5.5954,0.1983,12.4
KANSAS,Sumner,20191,5.596,0.1987,9.8
NEW JERSEY,Gloucester,34015,5.5992,0.199,6.4
IOWA,Fayette,19065,5.603,0.1993,7.6
WISCONSIN,Dunn,55033,5.6065,0.1996,7.8
MINNESOTA,Blue Earth,27013,5.61,0.1999,5
INDIANA,Carroll,18015,5.6113,0.2003,11.8
MINNESOTA,Clay,27027,5.6119,0.2006,5.3
MINNESOTA,Big Stone,27011,5.6183,0.2009,5.6
OKLAHOMA,McClain,40087,5.6224,0.2012,13.3
WYOMING,Converse,56009,5.624,0.2015,9.7
KANSAS,Chase,20017,5.6243,0.2018,6.4
KANSAS,Greenwood,20073,5.6266,0.2022,12.2
PENNSYLVANIA,Montour,42093,5.6275,0.2025,6
MINNESOTA,Otter Tail,27111,5.6294,0.2028,6
MINNESOTA,Traverse,27155,5.6307,0.2031,4.3
RHODE ISLAND,Newport,44005,5.632,0.2034,7.3
IOWA,Jasper,19099,5.6364,0.2038,6.2
VIRGINIA,Campbell,51031,5.639,0.2041,9.7
WISCONSIN,Fond du Lac,55039,5.6472,0.2044,5.8
VIRGINIA,Fairfax City,51600,5.6501,0.2047,11.3
SOUTH DAKOTA,Bon Homme,46009,5.6514,0.205,5.8
MINNESOTA,Pennington,27113,5.6568,0.2057,4.5
MICHIGAN,Benzie,26019,5.6568,0.2053,10.8
VIRGINIA,Westmoreland,51193,5.6581,0.206,12.4
OREGON,Deschutes,41017,5.6632,0.2063,13.1
NEBRASKA,Valley,31175,5.6635,0.2066,9.9
WYOMING,Albany,56001,5.6663,0.2069,8.7
NEBRASKA,Richardson,31147,5.6673,0.2073,6.9
MASSACHUSETTS,Norfolk,25021,5.6683,0.2076,2.1
MINNESOTA,Stevens,27149,5.6689,0.2079,3.5
SOUTH DAKOTA,Spink,46115,5.6734,0.2082,8.2
VIRGINIA,Amelia,51007,5.6746,0.2085,14.4
KANSAS,Ness,20135,5.6778,0.2089,6.9
OHIO,Carroll,39019,5.6845,0.2092,11.6
VIRGINIA,Middlesex,51119,5.6886,0.2095,9.8
TENNESSEE,Cheatham,47021,5.6909,0.2098,10.6
MINNESOTA,Yellow Medicine,27173,5.6921,0.2101,7.7
SOUTH DAKOTA,Marshall,46091,5.6925,0.2104,9.9
CALIFORNIA,El Dorado,6017,5.6934,0.2108,7.6
NEW YORK,Warren,36113,5.6963,0.2111,6.8
SOUTH DAKOTA,Aurora,46003,5.6966,0.2114,6
OHIO,Morrow,39117,5.7004,0.2117,8.9
UTAH,Emery,49015,5.7014,0.212,10.6
OHIO,Licking,39089,5.7042,0.2124,8.2
WASHINGTON,Jefferson,53031,5.7042,0.2127,8.2
NEBRASKA,Pawnee,31133,5.7049,0.213,16.2
OHIO,Wyandot,39175,5.7052,0.2133,7.4
INDIANA,Dubois,18037,5.7055,0.2136,6.7
MISSOURI,Holt,29087,5.7093,0.2139,10.6
KANSAS,Wallace,20199,5.71,0.2143,7.6
WYOMING,Hot Springs,56017,5.7103,0.2146,11.8
MINNESOTA,Chippewa,27023,5.7122,0.2149,8.1
OHIO,Darke,39037,5.7128,0.2152,7.7
PENNSYLVANIA,Beaver,42007,5.7131,0.2155,6
IOWA,Ringgold,19159,5.7141,0.2159,9.9
SOUTH DAKOTA,Meade,46093,5.7227,0.2162,10.7
ILLINOIS,Madison,17119,5.7243,0.2165,6.6
SOUTH DAKOTA,Yankton,46135,5.7246,0.2168,7.7
IOWA,Story,19169,5.7249,0.2171,4.3
MISSOURI,Chariton,29041,5.7256,0.2174,7.4
TEXAS,Hardin,48199,5.7259,0.2178,17.6
MINNESOTA,Red Lake,27125,5.7342,0.2181,5.5
KENTUCKY,Marshall,21157,5.7354,0.2184,7.2
KENTUCKY,Pendleton,21191,5.7408,0.2187,8.4
MARYLAND,Cecil,24015,5.7415,0.219,7
MASSACHUSETTS,Hampshire,25015,5.7424,0.2194,2.9
CALIFORNIA,Nevada,6057,5.744,0.2197,11.2
NEBRASKA,Red Willow,31145,5.7469,0.22,9.6
MONTANA,Missoula,30063,5.7475,0.2203,12.3
MISSOURI,Jefferson,29099,5.7504,0.2206,9.6
ILLINOIS,Will,17197,5.7542,0.2209,7.2
OREGON,Clackamas,41005,5.7609,0.2213,8.1
OKLAHOMA,Canadian,40017,5.7625,0.2216,10.1
MISSOURI,Ralls,29173,5.7644,0.2219,10.7
WYOMING,Platte,56031,5.7654,0.2222,16.9
OKLAHOMA,Woods,40151,5.7657,0.2225,12
NORTH DAKOTA,Williams,38105,5.7695,0.2229,9.5
SOUTH DAKOTA,Haakon,46055,5.7749,0.2232,8.5
TEXAS,Lipscomb,48295,5.7768,0.2235,18
OHIO,Fairfield,39045,5.7791,0.2238,6.6
PENNSYLVANIA,Adams,42001,5.7797,0.2241,7.4
IDAHO,Teton,16081,5.7813,0.2245,14
WASHINGTON,Wahkiakum,53069,5.7822,0.2248,8.3
IOWA,Washington,19183,5.7845,0.2251,8.6
MICHIGAN,Dickinson,26043,5.7857,0.2254,7.8
IOWA,Cerro Gordo,19033,5.7864,0.2257,6.7
WISCONSIN,Sheboygan,55117,5.7915,0.226,6
INDIANA,Fountain,18045,5.7934,0.2264,9.4
COLORADO,Cheyenne,8017,5.7934,0.2267,17.7
WYOMING,Campbell,56005,5.801,0.227,11
IDAHO,Butte,16023,5.8013,0.2273,13.6
WYOMING,Laramie,56021,5.802,0.2276,10.5
NEBRASKA,Chase,31029,5.8029,0.228,14.4
SOUTH DAKOTA,Day,46037,5.8039,0.2283,11.7
WASHINGTON,Lincoln,53043,5.8071,0.2286,8.7
IOWA,Sioux,19167,5.808,0.2289,6.4
INDIANA,White,18181,5.8093,0.2292,9.8
OREGON,Sherman,41055,5.8122,0.2295,17.3
NORTH DAKOTA,Dunn,38025,5.816,0.2299,18.6
INDIANA,Jasper,18073,5.8185,0.2302,8.7
SOUTH DAKOTA,Butte,46019,5.8195,0.2305,16.4
SOUTH DAKOTA,Clay,46027,5.8211,0.2308,9.5
OHIO,Pickaway,39129,5.8294,0.2311,7.6
UTAH,Beaver,49001,5.8313,0.2315,15.2
NEW YORK,Suffolk,36103,5.8316,0.2318,7.6
MASSACHUSETTS,Middlesex,25017,5.8329,0.2321,2.9
MINNESOTA,Winona,27169,5.8332,0.2324,7.3
KANSAS,Leavenworth,20103,5.8335,0.2327,6.5
UTAH,Wayne,49055,5.8338,0.233,17.8
WASHINGTON,Island,53029,5.8348,0.2334,7.4
NORTH DAKOTA,Stutsman,38093,5.836,0.2337,8.1
VIRGINIA,Warren,51187,5.8395,0.234,11.3
WISCONSIN,Marquette,55077,5.8459,0.2343,8
MISSOURI,Boone,29019,5.8472,0.2346,8
MONTANA,Yellowstone,30111,5.8507,0.235,11.9
IOWA,Scott,19163,5.8516,0.2353,6.4
NEBRASKA,Adams,31001,5.8545,0.2356,9.4
GEORGIA,Pike,13231,5.8558,0.2359,16.6
TEXAS,Blanco,48031,5.8567,0.2362,18.1
INDIANA,Newton,18111,5.8571,0.2365,12.8
OKLAHOMA,Dewey,40043,5.8574,0.2369,14.4
IOWA,Taylor,19173,5.8593,0.2372,11.1
NEW JERSEY,Warren,34041,5.8593,0.2375,8.2
OKLAHOMA,Beaver,40007,5.8593,0.2378,14.1
MINNESOTA,Fillmore,27045,5.8596,0.2381,9.3
WEST VIRGINIA,Jefferson,54037,5.8599,0.2385,7.9
IOWA,Clinton,19045,5.8615,0.2388,5.1
MISSOURI,Clark,29045,5.8717,0.2391,13.9
OHIO,Paulding,39125,5.8736,0.2394,8
IOWA,Osceola,19143,5.8746,0.2404,7.9
MAINE,Franklin,23007,5.8746,0.2401,10.9
OHIO,Hancock,39063,5.8746,0.2397,7.1
WISCONSIN,Richland,55103,5.8752,0.2407,8.5
PENNSYLVANIA,Warren,42123,5.8762,0.241,7.6
INDIANA,Benton,18007,5.8774,0.2413,13.2
MICHIGAN,Alcona,26001,5.8777,0.2416,8.8
NEW JERSEY,Bergen,34003,5.88,0.242,10.1
ARKANSAS,Grant,5053,5.8812,0.2423,9.1
KANSAS,Douglas,20045,5.8816,0.2426,10.4
KANSAS,Pawnee,20145,5.8851,0.2429,7.9
NEW HAMPSHIRE,Strafford,33017,5.8889,0.2432,9.3
MASSACHUSETTS,Plymouth,25023,5.8968,0.2436,2.9
NORTH DAKOTA,Grand Forks,38035,5.8991,0.2439,7.6
MICHIGAN,Shiawassee,26155,5.8997,0.2442,8.9
INDIANA,DeKalb,18033,5.9029,0.2445,11.4
VIRGINIA,Chesapeake City,51550,5.9112,0.2448,8.3
KANSAS,Rooks,20163,5.9121,0.2451,9.2
MINNESOTA,Waseca,27161,5.9124,0.2455,5.1
VIRGINIA,Floyd,51063,5.9153,0.2458,9.6
PENNSYLVANIA,Allegheny,42003,5.9188,0.2461,6
MINNESOTA,Roseau,27135,5.9195,0.2464,3.7
NEW MEXICO,Harding,35021,5.922,0.2467,6.5
IOWA,Clay,19041,5.9226,0.2471,5.7
IOWA,Johnson,19103,5.9258,0.2474,6.7
WISCONSIN,Iron,55051,5.9268,0.2477,8.8
KANSAS,Hamilton,20075,5.9268,0.248,25.2
SOUTH DAKOTA,Codington,46029,5.9303,0.2483,7.2
NEBRASKA,Otoe,31131,5.9309,0.2486,8.3
PENNSYLVANIA,Wayne,42127,5.9316,0.249,7.7
VIRGINIA,Madison,51113,5.9386,0.2493,15.4
WISCONSIN,Grant,55043,5.9417,0.2496,7.8
SOUTH DAKOTA,Perkins,46105,5.9462,0.2499,10.9
INDIANA,Pulaski,18131,5.9535,0.2502,10.9
WISCONSIN,Trempealeau,55121,5.9545,0.2506,8.2
TEXAS,Randall,48381,5.9637,0.2509,12.6
NEW YORK,Albany,36001,5.9643,0.2512,5.4
TEXAS,Throckmorton,48447,5.9669,0.2515,17.1
IOWA,Union,19175,5.9723,0.2518,8.2
MISSOURI,Gasconade,29073,5.9752,0.2521,8.2
GEORGIA,Pickens,13227,5.9755,0.2525,12.7
TEXAS,Mason,48319,5.9812,0.2528,22
KENTUCKY,Campbell,21037,5.9815,0.2531,8.7
GEORGIA,Catoosa,13047,5.9847,0.2534,14
ALASKA,Matanuska-Susitna,2170,5.9854,0.2537,17.4
COLORADO,Rio Blanco,8103,5.9863,0.2541,10.4
VIRGINIA,Montgomery,51121,5.9936,0.2544,6.9
INDIANA,Floyd,18043,5.9952,0.2547,9
KENTUCKY,Ballard,21007,6.0013,0.255,10.2
SOUTH DAKOTA,Hutchinson,46067,6.0032,0.2553,8.9
MICHIGAN,Washtenaw,26161,6.0041,0.2557,5.7
IOWA,Cass,19029,6.006,0.256,5.3
NEW YORK,Ontario,36069,6.0089,0.2563,5.8
PENNSYLVANIA,Columbia,42037,6.0108,0.2566,6
COLORADO,Archuleta,8007,6.0121,0.2569,20.3
SOUTH DAKOTA,Lawrence,46081,6.0201,0.2572,12.1
TEXAS,Denton,48121,6.0213,0.2576,13.3
IOWA,Floyd,19067,6.0258,0.2579,7.1
WISCONSIN,Sauk,55111,6.0274,0.2582,8.4
INDIANA,Gibson,18051,6.0296,0.2585,10
MISSOURI,Cooper,29053,6.0331,0.2588,10
NEW YORK,Nassau,36059,6.0337,0.2592,6.6
MICHIGAN,Presque Isle,26141,6.0369,0.2595,10.3
KANSAS,Doniphan,20043,6.0388,0.2598,12.7
OKLAHOMA,Grady,40051,6.0408,0.2601,13.9
WISCONSIN,Barron,55005,6.042,0.2604,7.7
VIRGINIA,Charles City,51036,6.0449,0.2607,12
TENNESSEE,Blount,47009,6.0455,0.2611,10.1
NORTH CAROLINA,Clay,37043,6.0474,0.2614,17.6
ILLINOIS,Ogle,17141,6.0519,0.2617,6.9
KANSAS,Franklin,20059,6.0522,0.262,8.2
CALIFORNIA,Marin,6041,6.0525,0.2623,6.4
WISCONSIN,Taylor,55119,6.0599,0.2627,10.6
KANSAS,Russell,20167,6.0602,0.263,8.8
VIRGINIA,Henrico,51087,6.0618,0.2633,9.9
MICHIGAN,Marquette,26103,6.0656,0.2636,8.1
MINNESOTA,Morrison,27097,6.0745,0.2639,6.4
CALIFORNIA,Calaveras,6009,6.0745,0.2642,8.3
KANSAS,Cloud,20029,6.0767,0.2646,11
IDAHO,Kootenai,16055,6.077,0.2649,13.3
INDIANA,Scott,18143,6.0774,0.2652,9.3
MINNESOTA,Redwood,27127,6.0796,0.2655,8.1
ILLINOIS,Macoupin,17117,6.0847,0.2658,7.3
KANSAS,Kiowa,20097,6.0863,0.2662,8.9
MINNESOTA,Steele,27147,6.0876,0.2665,4.4
VIRGINIA,Craig,51045,6.0879,0.2668,11.1
GEORGIA,Coweta,13077,6.0901,0.2671,10.7
WEST VIRGINIA,Brooke,54009,6.0952,0.2674,7.9
VIRGINIA,King and Queen,51097,6.0968,0.2681,12.9
ARKANSAS,Benton,5007,6.0968,0.2677,11.5
UTAH,Tooele,49045,6.0984,0.2687,8.7
VIRGINIA,Bland,51021,6.0984,0.2684,9.6
MICHIGAN,Ottawa,26139,6.099,0.269,5.5
TEXAS,Kendall,48259,6.1012,0.2693,9
MINNESOTA,Olmsted,27109,6.1019,0.2697,5.3
VIRGINIA,Greene,51079,6.1028,0.27,15.6
INDIANA,Steuben,18151,6.106,0.2703,11.4
OHIO,Portage,39133,6.1082,0.2706,7.5
MINNESOTA,Becker,27005,6.1178,0.2709,9.2
PENNSYLVANIA,Bradford,42015,6.1191,0.2713,8.9
WYOMING,Weston,56045,6.1194,0.2716,14.3
PENNSYLVANIA,Tioga,42117,6.1232,0.2719,9.5
UTAH,Juab,49023,6.1302,0.2722,12.9
TEXAS,Fort Bend,48157,6.1321,0.2725,13.1
MONTANA,Ravalli,30081,6.1337,0.2728,15.8
COLORADO,Gunnison,8051,6.1375,0.2732,13.2
CALIFORNIA,San Mateo,6081,6.1391,0.2735,7.2
NEBRASKA,Furnas,31065,6.1394,0.2738,9.3
OKLAHOMA,Noble,40103,6.1449,0.2741,10.2
COLORADO,Washington,8121,6.1452,0.2748,7.9
MISSISSIPPI,DeSoto,28033,6.1452,0.2744,11.2
NEBRASKA,Dawes,31045,6.1496,0.2751,13.9
TEXAS,Parker,48367,6.1519,0.2754,15.3
ALABAMA,Baldwin,1003,6.1538,0.2757,11.8
KANSAS,Butler,20015,6.1557,0.2763,9.2
UTAH,Rich,49033,6.1557,0.276,15.9
WISCONSIN,Green Lake,55047,6.157,0.2767,10.7
MISSOURI,Nodaway,29147,6.1633,0.277,11
MISSOURI,St. Louis,29189,6.1636,0.2773,8.2
ILLINOIS,Adams,17001,6.1662,0.2776,6.8
KANSAS,Osage,20139,6.171,0.2783,9.6
ALASKA,Juneau City and Borough,2110,6.171,0.2779,12.3
NEW YORK,Lewis,36049,6.1722,0.2786,9
WEST VIRGINIA,Morgan,54065,6.1735,0.2789,11.8
KANSAS,Harvey,20079,6.1764,0.2792,8.8
OREGON,Wheeler,41069,6.1764,0.2795,7.9
TEXAS,Comal,48091,6.1773,0.2802,13.9
WASHINGTON,Skamania,53059,6.1773,0.2798,9.6
WEST VIRGINIA,Jackson,54035,6.1792,0.2808,7.9
WEST VIRGINIA,Wirt,54105,6.1792,0.2805,10.8
INDIANA,Ripley,18137,6.1799,0.2811,8.1
VIRGINIA,Prince William,51153,6.1802,0.2814,12.5
WASHINGTON,King,53033,6.1808,0.2818,8.3
INDIANA,Wabash,18169,6.1837,0.2821,9.9
KANSAS,Brown,20013,6.1843,0.2824,10.6
FLORIDA,Sarasota,12115,6.1853,0.2827,13
MONTANA,Teton,30099,6.1872,0.283,14.7
WISCONSIN,Walworth,55127,6.1897,0.2833,8.5
INDIANA,Decatur,18031,6.1961,0.2837,11.2
KANSAS,Harper,20077,6.1996,0.284,12.3
ILLINOIS,Randolph,17157,6.2028,0.2843,6.7
NEBRASKA,Knox,31107,6.2044,0.2846,11
ILLINOIS,Pike,17149,6.205,0.2849,9.3
CALIFORNIA,Mono,6051,6.2057,0.2853,19.9
INDIANA,Rush,18139,6.2066,0.2856,14.5
NEW YORK,Wyoming,36121,6.2076,0.2859,5.9
MONTANA,Custer,30017,6.2092,0.2862,9.6
PENNSYLVANIA,Armstrong,42005,6.2104,0.2865,7.2
PENNSYLVANIA,Carbon,42025,6.2133,0.2869,8
PENNSYLVANIA,York,42133,6.2152,0.2872,7.2
SOUTH DAKOTA,Brown,46013,6.2168,0.2875,8.1
IOWA,Allamakee,19005,6.2171,0.2878,8.4
FLORIDA,Sumter,12119,6.2222,0.2881,8.1
MARYLAND,Worcester,24047,6.2283,0.2884,7.8
PENNSYLVANIA,Centre,42027,6.2292,0.2888,6.6
UTAH,Utah,49049,6.2292,0.2891,10.3
MINNESOTA,Carlton,27017,6.2299,0.2894,5.4
OKLAHOMA,Rogers,40131,6.2343,0.2897,12.1
GEORGIA,Jones,13169,6.2346,0.29,13.6
ILLINOIS,Crawford,17033,6.2353,0.2904,8.8
TEXAS,Chambers,48071,6.2372,0.2907,16.5
MONTANA,Musselshell,30065,6.2378,0.291,12.9
INDIANA,Perry,18123,6.2388,0.2913,9.1
VERMONT,Bennington,50003,6.2394,0.2916,4.8
VERMONT,Essex,50009,6.2401,0.2919,7
HAWAII,Kauai,15007,6.2416,0.2923,6.7
IDAHO,Blaine,16013,6.2423,0.2926,16.5
INDIANA,Lawrence,18093,6.2426,0.2929,12.1
MICHIGAN,Huron,26063,6.2432,0.2932,8.6
VERMONT,Windham,50025,6.2471,0.2935,6.2
PENNSYLVANIA,Northampton,42095,6.248,0.2939,7
KANSAS,Gray,20069,6.248,0.2942,11.4
NORTH CAROLINA,Orange,37135,6.2499,0.2945,8.4
MICHIGAN,Lapeer,26087,6.2518,0.2948,8.3
NEW YORK,Hamilton,36041,6.2525,0.2951,9.6
MICHIGAN,Eaton,26045,6.2534,0.2954,6.9
WYOMING,Natrona,56025,6.2547,0.2958,14.7
WASHINGTON,Snohomish,53061,6.2598,0.2961,9.3
KENTUCKY,Livingston,21139,6.2601,0.2964,6.5
INDIANA,Clark,18019,6.2617,0.2967,11.8
WYOMING,Goshen,56015,6.2633,0.297,12.7
IOWA,Lucas,19117,6.2693,0.2974,7
MAINE,Waldo,23027,6.2703,0.2977,11.9
PENNSYLVANIA,Potter,42105,6.2713,0.298,9.9
KANSAS,Stafford,20185,6.2722,0.2983,11.1
ILLINOIS,Christian,17021,6.277,0.2986,6.7
OHIO,Champaign,39021,6.2779,0.2989,6.9
IDAHO,Jefferson,16051,6.2783,0.2993,13.2
ALASKA,Bristol Bay,2060,6.2805,0.2996,20.4
OHIO,Logan,39091,6.2833,0.2999,10.6
MICHIGAN,Ontonagon,26131,6.2837,0.3002,12.7
KANSAS,Ellsworth,20053,6.2843,0.3005,6
TEXAS,Clay,48077,6.2849,0.3009,16.1
KENTUCKY,Scott,21209,6.2872,0.3012,8.3
ILLINOIS,Cumberland,17035,6.2884,0.3015,6.2
