state,county,2010_population,2015_population
Kentucky,Carter,27720,27439
Missouri,Carter,6265,6280
Montana,Carter,1160,1147
Oklahoma,Carter,47557,48568
Tennessee,Carter,57424,56375
Illinois,Cass,13642,12843
Indiana,Cass,38966,38081
Iowa,Cass,13956,13351
Michigan,Cass,52293,51342
Minnesota,Cass,28567,28698
Missouri,Cass,99478,101339
Nebraska,Cass,25241,25421
North Dakota,Cass,149778,170722
Texas,Cass,30464,30140
Iowa,Cedar,18499,18254
Missouri,Cedar,13982,13782
Nebraska,Cedar,8852,8518
Alabama,Chambers,34215,33996
Texas,Chambers,35096,39028
Illinois,Champaign,201081,209382
Ohio,Champaign,40097,38963
Florida,Charlotte,159978,172382
Virginia,Charlotte,12586,12179
Kansas,Chase,2790,2656
Nebraska,Chase,3966,3963
Georgia,Chatham,265128,285959
North Carolina,Chatham,63505,68263
Kansas,Chautauqua,3669,3387
New York,Chautauqua,134905,130529
Alabama,Cherokee,25989,25732
Georgia,Cherokee,214346,235329
Iowa,Cherokee,12072,11483
Kansas,Cherokee,21603,20535
North Carolina,Cherokee,27444,27102
Oklahoma,Cherokee,46987,48376
South Carolina,Cherokee,55342,56512
Texas,Cherokee,50845,51568
Pennsylvania,Chester,498886,515055
South Carolina,Chester,33140,32410
Tennessee,Chester,17131,17123
South Carolina,Chesterfield,46734,46135
Virginia,Chesterfield,316236,334915
Colorado,Cheyenne,1836,1827
Kansas,Cheyenne,2726,2674
Nebraska,Cheyenne,9998,10137
Iowa,Chickasaw,12439,12151
Mississippi,Chickasaw,17392,17395
Michigan,Chippewa,38520,37973
Minnesota,Chippewa,12441,12084
Wisconsin,Chippewa,62415,63421
Alabama,Choctaw,13859,13231
Mississippi,Choctaw,8547,8372
Oklahoma,Choctaw,15205,14984
Illinois,Christian,34800,33463
Kentucky,Christian,73955,73075
Missouri,Christian,77422,83077
Louisiana,Claiborne,17195,16261
Mississippi,Claiborne,9604,9209
Tennessee,Claiborne,32213,31555
Arkansas,Clark,22995,22513
Idaho,Clark,982,886
Illinois,Clark,16335,15868
Indiana,Clark,110232,114819
Kansas,Clark,2215,2081
Kentucky,Clark,35613,35660
Missouri,Clark,7139,6808
Nevada,Clark,1951269,2096717
Ohio,Clark,138333,135746
South Dakota,Clark,3691,3649
Washington,Clark,425363,456939
Wisconsin,Clark,34690,34358
Alabama,Clarke,25833,24698
Georgia,Clarke,116714,123561
Iowa,Clarke,9286,9219
Mississippi,Clarke,16732,16022
Virginia,Clarke,14034,14239
Alabama,Clay,13932,13415
Arkansas,Clay,16083,15206
Florida,Clay,190865,202392
Georgia,Clay,3183,3077
Illinois,Clay,13815,13401
Indiana,Clay,26890,26395
Iowa,Clay,16667,16498
Kansas,Clay,8535,8293
Kentucky,Clay,21730,20974
Minnesota,Clay,58999,62169
Mississippi,Clay,20634,20005
Missouri,Clay,221939,235161
Nebraska,Clay,6542,6291
North Carolina,Clay,10587,10623
South Dakota,Clay,13864,13768
Tennessee,Clay,7861,7663
Texas,Clay,10752,10359
West Virginia,Clay,9386,8875
Georgia,Clayton,259424,272720
Iowa,Clayton,18129,17726
Idaho,Clearwater,8761,8554
Minnesota,Clearwater,8695,8797
Alabama,Cleburne,14972,14914
Arkansas,Cleburne,25970,25355
Arkansas,Cleveland,8689,8284
North Carolina,Cleveland,98078,96850
Oklahoma,Cleveland,255755,273841
Illinois,Clinton,37762,37665
Indiana,Clinton,33224,32373
Iowa,Clinton,49116,47558
Kentucky,Clinton,10272,10183
Michigan,Clinton,75382,77009
Missouri,Clinton,20743,20581
New York,Clinton,82128,80718
Ohio,Clinton,42040,41839
Pennsylvania,Clinton,39238,39400
Alabama,Coffee,49948,50963
Georgia,Coffee,42356,42987
Tennessee,Coffee,52796,54093
Nebraska,Colfax,10515,10717
New Mexico,Colfax,13750,12429
Texas,Colorado,20874,20951
Arkansas,Columbia,24552,24115
Florida,Columbia,67531,68222
Georgia,Columbia,124053,143837
New York,Columbia,63096,61434
Oregon,Columbia,49351,49646
Pennsylvania,Columbia,67295,66681
Washington,Columbia,4078,3960
Wisconsin,Columbia,56833,56682
Kansas,Comanche,1891,1827
Oklahoma,Comanche,124098,124005
Texas,Comanche,13974,13395
Georgia,Cook,17212,17070
Illinois,Cook,5194675,5244088
Minnesota,Cook,5176,5245
New Hampshire,Coos,33055,32343
Oregon,Coos,63043,62643
Alabama,Covington,37765,37556
Mississippi,Covington,19568,19243
Oklahoma,Craig,15029,14709
Virginia,Craig,5190,5136
Arkansas,Crawford,61948,61904
Georgia,Crawford,12630,12354
Illinois,Crawford,19817,19255
Indiana,Crawford,10713,10555
Iowa,Crawford,17096,17082
Kansas,Crawford,39134,39139
Michigan,Crawford,14074,13853
Missouri,Crawford,24696,24511
Ohio,Crawford,43784,42324
Pennsylvania,Crawford,88765,86510
Wisconsin,Crawford,16644,16328
Arkansas,Crittenden,50902,49019
Kentucky,Crittenden,9315,9168
Tennessee,Crockett,14586,14586
Texas,Crockett,3719,3735
Oregon,Crook,20978,21455
Wyoming,Crook,7083,7435
Illinois,Cumberland,11048,10860
Kentucky,Cumberland,6856,6737
Maine,Cumberland,281674,289488
New Jersey,Cumberland,156898,154712
North Carolina,Cumberland,319431,331203
Pennsylvania,Cumberland,235406,245744
Tennessee,Cumberland,56053,58217
Virginia,Cumberland,10052,9756
New Mexico,Curry,48376,50290
Oregon,Curry,22364,22293
Colorado,Custer,4255,4434
Idaho,Custer,4368,4059
Montana,Custer,11699,12083
Nebraska,Custer,10939,10828
Oklahoma,Custer,27469,29565
South Dakota,Custer,8216,8444
Georgia,Dade,16633,16162
Missouri,Dade,7883,7574
Minnesota,Dakota,398552,414131
Nebraska,Dakota,21006,20550
Alabama,Dallas,43820,40936
Arkansas,Dallas,8116,7530
Iowa,Dallas,66135,80631
Missouri,Dallas,16777,16344
Texas,Dallas,2368139,2557830
North Carolina,Davidson,162878,163486
Tennessee,Davidson,626681,679793
Indiana,Daviess,31648,32823
Kentucky,Daviess,96656,99485
Missouri,Daviess,8433,8283
Iowa,Davis,8753,8777
Utah,Davis,306479,334597
Georgia,Dawson,22330,23369
Montana,Dawson,8966,9577
Nebraska,Dawson,24326,23892
Texas,Dawson,13833,12987
Georgia,Decatur,27842,27049
Indiana,Decatur,25740,26339
Iowa,Decatur,8457,8137
Kansas,Decatur,2961,2923
Tennessee,Decatur,11757,11600
Alabama,DeKalb,71109,71087
Georgia,DeKalb,691893,734434
Illinois,DeKalb,105160,104195
Indiana,DeKalb,42223,42496
Missouri,DeKalb,12892,12540
Tennessee,DeKalb,18723,19292
Indiana,Delaware,117671,115767
Iowa,Delaware,17764,17393
New York,Delaware,47980,45891
Ohio,Delaware,174214,193391
Oklahoma,Delaware,41487,41704
Pennsylvania,Delaware,558979,563225
Colorado,Delta,30952,29913
Michigan,Delta,37069,36415
Texas,Delta,5231,5159
Florida,DeSoto,34862,35648
Mississippi,DeSoto,161252,173271
Nebraska,Deuel,1941,1910
South Dakota,Deuel,4364,4323
Oklahoma,Dewey,4810,4984
South Dakota,Dewey,5301,5705
Iowa,Dickinson,16667,17004
Kansas,Dickinson,19754,19206
Michigan,Dickinson,26168,25661
Georgia,Dodge,21796,21142
Minnesota,Dodge,20087,20410
Nebraska,Dodge,36691,36567
Wisconsin,Dodge,88759,87816
Maryland,Dorchester,32618,32419
South Carolina,Dorchester,136555,152809
Colorado,Douglas,285465,322025
Georgia,Douglas,132403,140173
Illinois,Douglas,19980,19835
Kansas,Douglas,110826,118141
Minnesota,Douglas,36009,36790
Missouri,Douglas,13684,13356
Nebraska,Douglas,517110,549029
Nevada,Douglas,46997,47404
Oregon,Douglas,107667,107164
South Dakota,Douglas,3002,2952
Washington,Douglas,38431,40545
Wisconsin,Douglas,44159,43495
North Dakota,Dunn,3536,4578
Wisconsin,Dunn,43857,44267
Florida,Duval,864263,910578
Texas,Duval,11782,11336
New Mexico,Eddy,53829,57715
North Dakota,Eddy,2385,2305
Illinois,Edwards,6721,6511
Kansas,Edwards,3037,2955
Texas,Edwards,2002,1910
Georgia,Effingham,52250,57076
Illinois,Effingham,34242,34202
Colorado,El Paso,622263,674001
Texas,El Paso,800647,831898
Colorado,Elbert,23086,24630
Georgia,Elbert,20166,19302
Kansas,Elk,2882,2574
Pennsylvania,Elk,31946,30897
Kansas,Ellis,28452,28999
Oklahoma,Ellis,4151,4223
Texas,Ellis,149610,163292
Alabama,Elmore,79303,80872
Idaho,Elmore,27038,25826
Iowa,Emmet,10302,9702
Michigan,Emmet,32694,32924
New York,Erie,919040,920644
Ohio,Erie,77079,75360
Pennsylvania,Erie,280566,278174
Alabama,Escambia,38319,37661
Florida,Escambia,297619,309311
Massachusetts,Essex,743159,776865
New Jersey,Essex,783969,790439
New York,Essex,39370,37965
Vermont,Essex,6306,6193
Virginia,Essex,11151,11096
Connecticut,Fairfield,916829,944943
Ohio,Fairfield,146156,151254
South Carolina,Fairfield,23956,22874
Georgia,Fannin,23682,24442
Texas,Fannin,33915,33502
Alabama,Fayette,17241,16696
Georgia,Fayette,106567,110141
Illinois,Fayette,22140,22036
Indiana,Fayette,24277,23388
Iowa,Fayette,20880,20142
Kentucky,Fayette,295803,315819
Ohio,Fayette,29030,28611
Pennsylvania,Fayette,136606,133252
Tennessee,Fayette,38413,39280
Texas,Fayette,24554,24945
West Virginia,Fayette,46039,44707
Minnesota,Fillmore,20866,20739
Nebraska,Fillmore,5890,5553
South Carolina,Florence,136885,138715
Wisconsin,Florence,4423,4338
Georgia,Floyd,96317,96186
Indiana,Floyd,74578,76505
Iowa,Floyd,16303,15910
Kentucky,Floyd,39451,37531
Texas,Floyd,6446,5843
Virginia,Floyd,15279,15548
Illinois,Ford,14081,13529
Kansas,Ford,33848,34629
Pennsylvania,Forest,7716,7381
Wisconsin,Forest,9304,9004
Georgia,Forsyth,175511,211250
North Carolina,Forsyth,350670,367365
Alabama,Franklin,31704,31515
Arkansas,Franklin,18125,17749
Florida,Franklin,11549,11707
Georgia,Franklin,22084,22267
Idaho,Franklin,12786,12955
Illinois,Franklin,39561,39383
Indiana,Franklin,23087,22940
Iowa,Franklin,10680,10319
Kansas,Franklin,25992,25469
Kentucky,Franklin,49285,50070
Louisiana,Franklin,20767,20386
Maine,Franklin,30768,30017
Massachusetts,Franklin,71372,70866
Mississippi,Franklin,8118,7729
Missouri,Franklin,101492,102251
Nebraska,Franklin,3225,2977
New York,Franklin,51599,50540
North Carolina,Franklin,60619,63668
Ohio,Franklin,1163414,1257386
Pennsylvania,Franklin,149618,153048
Tennessee,Franklin,41052,41343
Texas,Franklin,10605,10603
Vermont,Franklin,47746,48988
Virginia,Franklin,56159,56227
Washington,Franklin,78163,88727
Maryland,Frederick,233385,245001
Virginia,Frederick,78305,83493
Colorado,Fremont,46824,46282
Idaho,Fremont,13242,12812
Iowa,Fremont,7441,6912
Wyoming,Fremont,40123,40219
Arkansas,Fulton,12245,12138
Georgia,Fulton,920581,1005127
Illinois,Fulton,37069,35713
Indiana,Fulton,20836,20340
Kentucky,Fulton,6813,6266
New York,Fulton,55531,53801
Ohio,Fulton,42698,42301
Pennsylvania,Fulton,14845,14509
Illinois,Gallatin,5589,5221
Kentucky,Gallatin,8589,8613
Montana,Gallatin,89513,100882
Colorado,Garfield,56389,57698
Montana,Garfield,1206,1284
Nebraska,Garfield,2049,2014
Oklahoma,Garfield,60580,63248
Utah,Garfield,5172,4962
Washington,Garfield,2266,2222
Michigan,Genesee,425790,410461
New York,Genesee,60079,58462
Indiana,Gibson,33503,33644
Tennessee,Gibson,49683,49329
Tennessee,Giles,29485,28973
Virginia,Giles,17286,16762
Georgia,Gilmer,28292,29514
West Virginia,Gilmer,8693,8306
New Jersey,Gloucester,288288,290943
Virginia,Gloucester,36858,37010
Montana,Golden Valley,884,818
North Dakota,Golden Valley,1680,1879
Georgia,Grady,25011,25089
Oklahoma,Grady,52431,54559
Arizona,Graham,37220,37860
Kansas,Graham,2597,2591
North Carolina,Graham,8861,8588
Colorado,Grand,14843,14726
Utah,Grand,9225,9551
Arkansas,Grant,17853,18016
Indiana,Grant,70061,67479
Kansas,Grant,7829,7724
Kentucky,Grant,24662,24736
Louisiana,Grant,22309,22302
Minnesota,Grant,6018,5867
Nebraska,Grant,614,646
New Mexico,Grant,29514,28364
North Dakota,Grant,2394,2396
Oklahoma,Grant,4527,4500
Oregon,Grant,7445,7207
South Dakota,Grant,7356,7218
Washington,Grant,89120,93527
West Virginia,Grant,11937,11651
Wisconsin,Grant,51208,52071
Kansas,Gray,6006,6082
Texas,Gray,22535,23265
Kentucky,Grayson,25746,26138
Texas,Grayson,120877,125628
Virginia,Grayson,15533,15959
Kansas,Greeley,1247,1302
Nebraska,Greeley,2538,2435
Kentucky,Green,11258,10951
Wisconsin,Green,36842,36931
Alabama,Greene,9045,8508
Arkansas,Greene,42090,44300
Georgia,Greene,15994,16617
Illinois,Greene,13886,13345
Indiana,Greene,33165,32416
Iowa,Greene,9336,8944
Mississippi,Greene,14400,13549
Missouri,Greene,275174,287312
New York,Greene,49221,47616
North Carolina,Greene,21362,20950
Ohio,Greene,161573,164272
Pennsylvania,Greene,38686,37402
Tennessee,Greene,68831,68586
Virginia,Greene,18403,19183
Kansas,Greenwood,6689,6233
South Carolina,Greenwood,69661,69962
Illinois,Grundy,50063,50363
Iowa,Grundy,12453,12405
Missouri,Grundy,10261,10031
Tennessee,Grundy,13703,13337
New Mexico,Guadalupe,4687,4350
Texas,Guadalupe,131533,150578
Alabama,Hale,15760,15015
Texas,Hale,36273,34034
North Carolina,Halifax,54691,52182
Virginia,Halifax,36241,35103
Georgia,Hall,179684,192245
Nebraska,Hall,58607,61132
Texas,Hall,3353,3094
Florida,Hamilton,14799,14272
Illinois,Hamilton,8457,8248
Indiana,Hamilton,274569,308428
Iowa,Hamilton,15673,15218
Kansas,Hamilton,2690,2568
Nebraska,Hamilton,9124,9141
New York,Hamilton,4836,4699
Ohio,Hamilton,802374,809527
Tennessee,Hamilton,336463,353690
Texas,Hamilton,8517,8080
Massachusetts,Hampshire,158080,160709
